code,name,ind,price,dcf_n,dcf_o,dcf_up,np_,kf,py,ry,ocf,fcf,debt,gm,nm,roe,pb,pe_ttm,dy,fcap,quality,growth,value,health,ind_s,final
688331,荣昌生物,抗体,114.84,527.02,1155.19,358.92,46.62,43.38,1137.06,433.11,42.14,41.4,15.57,95.71,79.65,56.07,7.8,11.14,0.0,408.71,98.13,100.0,74.88,100.0,80,74.52
603986,兆易创新,集成电路设计,388.18,433.42,950.02,11.65,68.57,48.83,1091.5,178.67,60.48,51.03,11.47,63.13,59.53,18.39,7.31,34.46,0.19,2603.59,85.39,100.0,48.62,100.0,82,68.59
000792,盐湖股份,钾肥,24.74,64.27,140.87,159.78,61.69,60.01,137.88,79.88,62.82,56.52,14.07,71.39,55.55,12.92,2.74,10.86,0.0,1309.12,83.78,96.82,87.02,100.0,60,68.31
301308,江波龙,集成电路设计,346.96,1434.47,3144.25,313.44,105.77,100.47,71528.72,136.26,-31.51,-35.2,56.13,58.9,44.49,56.92,7.9,13.31,0.26,977.91,84.84,100.0,73.49,48.12,82,66.7
000426,兴业银锡,铅锌,35.47,57.92,126.96,63.29,22.63,18.16,184.42,73.13,21.13,17.09,38.02,68.75,54.26,19.61,5.46,19.86,0.59,629.65,89.59,95.0,73.58,87.5,58,65.65
002414,高德红外,军工电子,12.43,19.04,41.73,53.18,13.51,13.14,646.81,117.94,-0.68,-3.96,28.06,52.09,32.05,16.09,6.32,28.59,0.8,422.45,66.38,100.0,63.83,75.06,87,65.29
688525,XD佰维存,集成电路设计,216.88,904.2,1981.94,316.91,71.66,66.33,3273.48,298.1,-62.61,-67.4,61.64,54.81,45.89,56.43,8.05,12.54,0.29,1034.15,80.09,100.0,73.8,42.83,82,65.21
002466,天齐锂业,锂,42.76,41.89,91.83,-2.03,42.42,42.0,4925.46,153.32,22.12,11.32,28.46,64.39,56.83,8.77,1.52,15.85,0.0,631.08,71.58,100.0,76.16,96.68,62,64.81
600519,贵州茅台,白酒,1257.12,1363.05,2283.6,8.43,445.17,444.64,-1.95,1.47,706.91,698.59,15.19,89.56,50.75,17.72,6.25,19.3,4.14,15715.03,91.26,44.97,63.86,100.0,82,63.38
002602,世纪华通,游戏,14.69,21.7,45.63,47.72,45.03,43.03,69.51,28.53,44.97,39.86,26.27,72.69,20.71,13.16,3.16,14.53,0.95,998.45,72.33,68.0,83.33,98.78,70,62.96
