date,net_value
2026-05-06,100000.00
2026-05-07,100000.00
2026-05-08,100000.00
2026-05-11,100000.00
2026-05-12,100000.00
2026-05-13,100000.00
2026-05-14,100000.00
2026-05-15,100000.00
2026-05-18,100000.00
2026-05-19,100000.00
2026-05-20,100000.00
2026-05-21,100000.00
2026-05-22,100000.00
2026-05-25,100000.00
2026-05-26,100000.00
2026-05-27,100000.00
2026-05-28,100000.00
2026-05-29,100000.00
2026-06-01,100000.00
2026-06-02,100000.00
2026-06-03,100000.00
2026-06-04,100000.00
2026-06-05,100921.75
2026-06-08,101328.94
2026-06-09,103628.18
2026-06-10,103434.49
2026-06-11,103783.74
2026-06-12,108410.86
2026-06-15,110217.35
2026-06-16,109858.07
2026-06-17,109890.78
2026-06-18,109817.00
2026-06-19,109562.70
2026-06-22,109772.29
2026-06-23,111497.84
2026-06-24,111413.34
2026-06-25,111818.65
2026-06-26,113748.84
2026-06-29,114131.18
2026-06-30,114131.18
