ÈÕÆÚ,Ê±¼ä,ºÏÔ¼´úÂë,Âò/Âô,¿ª/Æ½,³É½»Á¿,³É½»¼Û,ÊÖÐø·Ñ
2026-05-06,10:30:00,688535.SS,Âò,-,200.000,97.506,6.800
2026-05-06,10:30:00,300085.SZ,Âò,-,700.000,39.740,9.700
2026-05-07,10:30:00,000980.SZ,Âò,-,5800.000,2.624,5.741
2026-05-07,10:30:00,300706.SZ,Âò,-,200.000,49.795,5.485
2026-05-08,10:30:00,300421.SZ,Âò,-,900.000,26.980,8.467
2026-05-11,09:34:00,000980.SZ,Âô,-,2900.000,2.786,13.472
2026-05-11,10:24:00,300085.SZ,Âô,-,300.000,42.886,18.492
2026-05-11,13:35:00,000980.SZ,Âô,-,1400.000,2.746,9.031
2026-05-12,09:31:00,000980.SZ,Âô,-,1500.000,2.656,9.178
2026-05-12,09:31:00,300706.SZ,Âô,-,200.000,48.477,15.168
2026-05-13,09:31:00,300421.SZ,Âô,-,900.000,25.931,31.476
2026-05-13,10:30:00,002190.SZ,Âò,-,800.000,34.542,9.636
2026-05-13,10:30:00,300062.SZ,Âò,-,3000.000,9.014,9.429
2026-05-14,09:32:00,002190.SZ,Âô,-,800.000,33.120,35.735
2026-05-14,10:30:00,601777.SS,Âò,-,2400.000,12.619,10.561
2026-05-14,10:32:00,300062.SZ,Âô,-,3000.000,8.367,33.855
2026-05-15,09:48:00,300085.SZ,Âô,-,200.000,40.489,13.492
2026-05-15,10:14:00,601777.SS,Âô,-,2400.000,12.082,39.107
2026-05-15,10:20:00,300085.SZ,Âô,-,200.000,39.541,13.293
2026-05-15,10:30:00,002409.SZ,Âò,-,200.000,110.766,7.725
2026-05-15,10:30:00,688112.SS,Âò,-,400.000,65.849,9.185
2026-05-15,13:01:00,688535.SS,Âô,-,200.000,131.113,35.366
2026-05-18,09:41:00,002409.SZ,Âô,-,100.000,118.033,17.378
2026-05-18,09:54:00,688112.SS,Âô,-,200.000,71.143,19.922
2026-05-18,10:30:00,300820.SZ,Âò,-,300.000,67.671,7.079
2026-05-18,10:30:00,300128.SZ,Âò,-,3000.000,8.142,8.518
2026-05-18,10:30:00,688322.SS,Âò,-,200.000,94.912,6.619
2026-05-19,09:34:00,002409.SZ,Âô,-,100.000,109.695,16.504
2026-05-20,10:30:00,301348.SZ,Âò,-,700.000,31.798,7.761
2026-05-21,09:32:00,300820.SZ,Âô,-,100.000,73.390,12.696
2026-05-21,13:49:00,300820.SZ,Âô,-,100.000,70.594,12.403
2026-05-21,14:36:00,300820.SZ,Âô,-,100.000,67.808,12.111
2026-05-22,09:37:00,301348.SZ,Âô,-,700.000,29.506,27.856
2026-05-25,09:32:00,300128.SZ,Âô,-,3000.000,8.068,32.643
2026-05-25,09:39:00,688322.SS,Âô,-,200.000,123.624,33.346
2026-05-25,10:30:00,300179.SZ,Âò,-,900.000,34.301,10.765
2026-05-25,10:30:00,301366.SZ,Âò,-,700.000,46.440,11.335
2026-05-26,09:31:00,300179.SZ,Âô,-,400.000,37.344,20.665
2026-05-26,10:30:00,300041.SZ,Âò,-,1700.000,15.023,8.905
2026-05-26,10:30:00,301071.SZ,Âò,-,200.000,79.189,5.771
2026-05-27,09:32:00,301366.SZ,Âô,-,300.000,50.275,20.817
2026-05-27,09:36:00,300179.SZ,Âô,-,200.000,35.786,12.506
2026-05-27,09:38:00,688112.SS,Âô,-,200.000,66.910,19.034
2026-05-27,13:03:00,301366.SZ,Âô,-,200.000,46.750,14.805
2026-05-27,13:12:00,301071.SZ,Âô,-,200.000,73.470,20.410
2026-05-28,09:38:00,300179.SZ,Âô,-,300.000,38.283,17.044
2026-05-28,09:50:00,301366.SZ,Âô,-,200.000,46.330,14.717
2026-05-29,10:05:00,300041.SZ,Âô,-,1700.000,14.988,34.363
2026-05-29,10:30:00,600956.SS,Âò,-,3600.000,9.284,11.654
2026-05-29,10:30:00,600101.SS,Âò,-,3200.000,10.406,11.611
2026-06-01,09:39:00,600101.SS,Âô,-,3200.000,9.945,42.921
2026-06-01,14:46:00,600956.SS,Âô,-,1800.000,9.865,23.949
2026-06-02,13:27:00,600956.SS,Âô,-,900.000,9.685,14.141
2026-06-03,09:39:00,600956.SS,Âô,-,900.000,9.366,13.840
2026-06-03,10:30:00,301419.SZ,Âò,-,600.000,47.972,10.037
2026-06-03,10:30:00,301458.SZ,Âò,-,600.000,53.690,11.233
2026-06-04,10:30:00,300686.SZ,Âò,-,800.000,19.760,5.770
2026-06-04,10:30:00,300516.SZ,Âò,-,400.000,41.983,5.856
2026-06-04,10:30:00,300319.SZ,Âò,-,500.000,19.299,5.470
2026-06-04,13:55:00,301458.SZ,Âô,-,300.000,58.612,23.715
2026-06-05,09:35:00,300319.SZ,Âô,-,200.000,20.919,9.387
2026-06-05,09:41:00,301419.SZ,Âô,-,600.000,47.838,38.712
2026-06-05,09:42:00,300686.SZ,Âô,-,800.000,18.323,20.372
2026-06-05,10:34:00,300516.SZ,Âô,-,400.000,41.837,22.570
2026-06-05,13:12:00,301458.SZ,Âô,-,300.000,63.575,25.723
2026-06-08,09:31:00,300319.SZ,Âô,-,300.000,24.264,12.634
2026-06-15,10:30:00,688419.SS,Âò,-,400.000,61.612,8.594
2026-06-15,10:30:00,688249.SS,Âò,-,800.000,43.385,12.103
2026-06-16,09:42:00,688419.SS,Âô,-,400.000,61.128,32.977
2026-06-16,13:19:00,688249.SS,Âô,-,800.000,41.318,44.580
2026-06-17,10:30:00,300921.SZ,Âò,-,1200.000,22.253,9.312
2026-06-17,10:30:00,002972.SZ,Âò,-,1400.000,16.345,7.979
2026-06-17,10:30:00,300939.SZ,Âò,-,200.000,66.059,5.643
2026-06-17,10:30:00,301306.SZ,Âò,-,100.000,150.275,5.732
2026-06-18,09:33:00,300939.SZ,Âô,-,100.000,72.431,12.596
2026-06-18,10:30:00,300584.SZ,Âò,-,800.000,40.561,11.315
2026-06-22,14:32:00,002972.SZ,Âô,-,700.000,17.314,17.710
2026-06-23,09:34:00,300584.SZ,Âô,-,800.000,40.479,43.675
2026-06-23,09:46:00,300921.SZ,Âô,-,1200.000,22.027,35.649
2026-06-24,10:30:00,603005.SS,Âò,-,700.000,49.174,12.003
2026-06-24,10:57:00,002972.SZ,Âô,-,300.000,16.835,10.296
2026-06-25,10:42:00,603005.SS,Âô,-,700.000,49.066,46.323
2026-06-26,09:31:00,300939.SZ,Âô,-,100.000,65.901,11.911
2026-06-30,10:30:00,301045.SZ,Âò,-,400.000,80.140,11.178
2026-06-30,13:08:00,002972.SZ,Âô,-,400.000,18.702,12.845
