日期,时间,合约代码,最新价,仓位,多/空,持仓成本价,市值,累计盈亏
2026-05-06,15:30:00,688535.SS,95.770,200,多,97.540,19154.000,-354.000
2026-05-06,15:30:00,300085.SZ,39.380,700,多,39.753,27566.000,-261.380
2026-05-07,15:30:00,688535.SS,100.920,200,多,97.540,20184.000,676.000
2026-05-07,15:30:00,300085.SZ,41.080,700,多,39.753,28756.000,928.620
2026-05-07,15:30:00,000980.SZ,2.630,5800,多,2.625,15254.000,29.580
2026-05-07,15:30:00,300706.SZ,50.060,200,多,49.822,10012.000,47.600
2026-05-08,15:30:00,688535.SS,100.500,200,多,97.540,20100.000,592.000
2026-05-08,15:30:00,300085.SZ,40.930,700,多,39.753,28651.000,823.620
2026-05-08,15:30:00,000980.SZ,2.640,5800,多,2.625,15312.000,87.580
2026-05-08,15:30:00,300706.SZ,48.530,200,多,49.822,9706.000,-258.400
2026-05-08,15:30:00,300421.SZ,27.250,900,多,26.990,24525.000,234.180
2026-05-11,15:30:00,688535.SS,106.300,200,多,97.540,21260.000,1752.000
2026-05-11,15:30:00,300085.SZ,43.340,400,多,37.451,17336.000,2355.800
2026-05-11,15:30:00,000980.SZ,2.770,1500,多,2.216,4155.000,831.000
2026-05-11,15:30:00,300706.SZ,48.910,200,多,49.822,9782.000,-182.400
2026-05-11,15:30:00,300421.SZ,27.010,900,多,26.990,24309.000,18.180
2026-05-12,15:30:00,688535.SS,107.320,200,多,97.540,21464.000,1956.000
2026-05-12,15:30:00,300085.SZ,42.420,400,多,37.451,16968.000,1987.800
2026-05-12,15:30:00,000980.SZ,2.740,0,多,0.000,0.000,0.000
2026-05-12,15:30:00,300706.SZ,48.010,0,多,0.000,0.000,0.000
2026-05-12,15:30:00,300421.SZ,26.440,900,多,26.990,23796.000,-494.820
2026-05-13,15:30:00,688535.SS,117.540,200,多,97.540,23508.000,4000.000
2026-05-13,15:30:00,300085.SZ,42.690,400,多,37.451,17076.000,2095.800
2026-05-13,15:30:00,300421.SZ,26.190,0,多,0.000,0.000,0.000
2026-05-13,15:30:00,002190.SZ,33.850,800,多,34.554,27080.000,-563.040
2026-05-13,15:30:00,300062.SZ,8.800,3000,多,9.017,26400.000,-649.800
2026-05-14,15:30:00,688535.SS,115.830,200,多,97.540,23166.000,3658.000
2026-05-14,15:30:00,300085.SZ,41.800,400,多,37.451,16720.000,1739.800
2026-05-14,15:30:00,002190.SZ,32.010,0,多,0.000,0.000,0.000
2026-05-14,15:30:00,300062.SZ,8.230,0,多,0.000,0.000,0.000
2026-05-14,15:30:00,601777.SS,12.540,2400,多,12.623,30096.000,-199.920
2026-05-15,15:30:00,688535.SS,133.770,0,多,0.000,0.000,0.000
2026-05-15,15:30:00,300085.SZ,39.370,0,多,0.000,0.000,0.000
2026-05-15,15:30:00,601777.SS,12.010,0,多,0.000,0.000,0.000
2026-05-15,15:30:00,002409.SZ,107.460,200,多,110.805,21492.000,-668.900
2026-05-15,15:30:00,688112.SS,67.840,400,多,65.872,27136.000,787.360
2026-05-18,15:30:00,002409.SZ,114.190,100,多,103.750,11419.000,1043.990
2026-05-18,15:30:00,688112.SS,70.860,200,多,60.700,14172.000,2032.060
2026-05-18,15:30:00,300820.SZ,66.670,300,多,67.695,20001.000,-307.500
2026-05-18,15:30:00,300128.SZ,8.070,3000,多,8.145,24210.000,-225.000
2026-05-18,15:30:00,688322.SS,95.400,200,多,94.945,19080.000,90.940
2026-05-19,15:30:00,002409.SZ,115.960,0,多,0.000,0.000,0.000
2026-05-19,15:30:00,688112.SS,70.800,200,多,60.700,14160.000,2020.060
2026-05-19,15:30:00,300820.SZ,70.310,300,多,67.695,21093.000,784.500
2026-05-19,15:30:00,300128.SZ,8.040,3000,多,8.145,24120.000,-315.000
2026-05-19,15:30:00,688322.SS,100.710,200,多,94.945,20142.000,1152.940
2026-05-20,15:30:00,688112.SS,75.550,200,多,60.700,15110.000,2970.060
2026-05-20,15:30:00,300820.SZ,72.360,300,多,67.695,21708.000,1399.500
2026-05-20,15:30:00,300128.SZ,8.060,3000,多,8.145,24180.000,-255.000
2026-05-20,15:30:00,688322.SS,102.680,200,多,94.945,20536.000,1546.940
2026-05-20,15:30:00,301348.SZ,30.730,700,多,31.809,21511.000,-755.090
2026-05-21,15:30:00,688112.SS,70.700,200,多,60.700,14140.000,2000.060
2026-05-21,15:30:00,300820.SZ,67.530,0,多,0.000,0.000,0.000
2026-05-21,15:30:00,300128.SZ,7.840,3000,多,8.145,23520.000,-915.000
2026-05-21,15:30:00,688322.SS,109.600,200,多,94.945,21920.000,2930.940
2026-05-21,15:30:00,301348.SZ,30.210,700,多,31.809,21147.000,-1119.090
2026-05-22,15:30:00,688112.SS,73.020,200,多,60.700,14604.000,2464.060
2026-05-22,15:30:00,300128.SZ,8.080,3000,多,8.145,24240.000,-195.000
2026-05-22,15:30:00,688322.SS,118.150,200,多,94.945,23630.000,4640.940
2026-05-22,15:30:00,301348.SZ,29.930,0,多,0.000,0.000,0.000
2026-05-25,15:30:00,688112.SS,72.960,200,多,60.700,14592.000,2452.060
2026-05-25,15:30:00,300128.SZ,8.310,0,多,0.000,0.000,0.000
2026-05-25,15:30:00,688322.SS,118.290,0,多,0.000,0.000,0.000
2026-05-25,15:30:00,300179.SZ,37.210,900,多,34.313,33489.000,2607.030
2026-05-25,15:30:00,301366.SZ,46.760,700,多,46.456,32732.000,213.010
2026-05-26,15:30:00,688112.SS,68.970,200,多,60.700,13794.000,1654.060
2026-05-26,15:30:00,300179.SZ,38.170,500,多,31.930,19085.000,3119.900
2026-05-26,15:30:00,301366.SZ,48.070,700,多,46.456,33649.000,1130.010
2026-05-26,15:30:00,300041.SZ,14.860,1700,多,15.028,25262.000,-285.090
2026-05-26,15:30:00,301071.SZ,80.150,200,多,79.218,16030.000,186.500
2026-05-27,15:30:00,688112.SS,70.260,0,多,0.000,0.000,0.000
2026-05-27,15:30:00,300179.SZ,35.940,300,多,29.401,10782.000,1961.640
2026-05-27,15:30:00,301366.SZ,47.380,200,多,40.612,9476.000,1353.660
2026-05-27,15:30:00,300041.SZ,15.160,1700,多,15.028,25772.000,224.910
2026-05-27,15:30:00,301071.SZ,73.140,0,多,0.000,0.000,0.000
2026-05-28,15:30:00,300179.SZ,43.130,0,多,0.000,0.000,0.000
2026-05-28,15:30:00,301366.SZ,46.230,0,多,0.000,0.000,0.000
2026-05-28,15:30:00,300041.SZ,15.860,1700,多,15.028,26962.000,1414.910
2026-05-29,15:30:00,300041.SZ,14.560,0,多,0.000,0.000,0.000
2026-05-29,15:30:00,600956.SS,9.090,3600,多,9.287,32724.000,-709.560
2026-05-29,15:30:00,600101.SS,10.350,3200,多,10.409,33120.000,-189.440
2026-06-01,15:30:00,600956.SS,9.850,1800,多,8.722,17730.000,2029.680
2026-06-01,15:30:00,600101.SS,10.450,0,多,0.000,0.000,0.000
2026-06-02,15:30:00,600956.SS,9.870,900,多,7.775,8883.000,1885.410
2026-06-03,15:30:00,600956.SS,9.750,0,多,0.000,0.000,0.000
2026-06-03,15:30:00,301419.SZ,50.360,600,多,47.989,30216.000,1422.840
2026-06-03,15:30:00,301458.SZ,51.650,600,多,53.709,30990.000,-1235.460
2026-06-04,15:30:00,301419.SZ,47.760,600,多,47.989,28656.000,-137.160
2026-06-04,15:30:00,301458.SZ,57.100,300,多,48.885,17130.000,2464.380
2026-06-04,15:30:00,300686.SZ,19.700,800,多,19.767,15760.000,-53.440
2026-06-04,15:30:00,300516.SZ,42.220,400,多,41.998,16888.000,89.000
2026-06-04,15:30:00,300319.SZ,19.470,500,多,19.310,9735.000,80.100
2026-06-05,15:30:00,301419.SZ,47.080,0,多,0.000,0.000,0.000
2026-06-05,15:30:00,301458.SZ,63.520,0,多,0.000,0.000,0.000
2026-06-05,15:30:00,300686.SZ,17.740,0,多,0.000,0.000,0.000
2026-06-05,15:30:00,300516.SZ,40.980,0,多,0.000,0.000,0.000
2026-06-05,15:30:00,300319.SZ,22.280,300,多,18.269,6684.000,1203.420
2026-06-08,15:30:00,300319.SZ,23.140,0,多,0.000,0.000,0.000
